Query,User ID,Timestamp,Click URL
best programming languages,4367,2025-01-15 4:31:30,https://news.com/search?q=how+to+invest+in+stocks
best smartphones 2025,8870,2025-04-24 16:59:31,https://news.com/search?q=how+to+cook+pasta
latest AI trends,4251,2025-03-12 14:20:3,https://google.com/search?q=best+smartphones+2025
best programming languages,4993,2025-08-12 12:23:39,https://amazon.com/search?q=top+movies+2025
best smartphones 2025,7912,2025-01-24 11:4:59,https://news.com/search?q=how+to+invest+in+stocks
weather in New York,3141,2025-01-28 11:12:59,https://news.com/search?q=best+smartphones+2025
best smartphones 2025,1032,2025-09-14 10:23:18,https://amazon.com/search?q=fitness+tips
best smartphones 2025,5058,2025-06-19 2:59:42,https://youtube.com/search?q=history+of+the+internet
fitness tips,4103,2025-09-18 3:35:18,https://news.com/search?q=weather+in+New+York
how to invest in stocks,1431,2025-01-16 1:8:48,https://news.com/search?q=weather+in+New+York
weather in New York,5770,2025-06-20 19:51:32,https://youtube.com/search?q=history+of+the+internet
latest AI trends,5216,2025-02-13 21:59:50,https://google.com/search?q=best+smartphones+2025
weather in New York,2883,2025-03-21 22:30:42,https://amazon.com/search?q=cheap+flights+to+London
how to invest in stocks,2533,2025-06-15 6:27:14,https://wikipedia.org/search?q=weather+in+New+York
best programming languages,5409,2025-07-20 21:44:48,https://news.com/search?q=best+smartphones+2025
fitness tips,5923,2025-03-13 20:43:30,https://news.com/search?q=how+to+invest+in+stocks
latest AI trends,8292,2025-01-25 0:47:9,https://wikipedia.org/search?q=fitness+tips
latest AI trends,4375,2025-06-20 21:39:46,https://news.com/search?q=how+to+cook+pasta
cheap flights to London,4480,2025-05-18 20:42:0,https://wikipedia.org/search?q=history+of+the+internet
latest AI trends,1307,2025-02-26 13:14:41,https://youtube.com/search?q=best+smartphones+2025
best programming languages,3299,2025-07-12 12:28:11,https://google.com/search?q=top+movies+2025
weather in New York,5341,2025-02-20 4:51:57,https://news.com/search?q=best+programming+languages
latest AI trends,3158,2025-08-18 6:4:49,https://google.com/search?q=best+programming+languages
latest AI trends,7975,2025-04-23 6:24:43,https://amazon.com/search?q=cheap+flights+to+London
latest AI trends,1675,2025-08-13 23:15:39,https://google.com/search?q=history+of+the+internet
how to cook pasta,4521,2025-07-20 2:24:44,https://youtube.com/search?q=cheap+flights+to+London
fitness tips,6926,2025-08-10 2:39:25,https://amazon.com/search?q=top+movies+2025
cheap flights to London,7758,2025-08-28 7:41:54,https://youtube.com/search?q=best+programming+languages
how to cook pasta,6271,2025-04-23 12:37:21,https://google.com/search?q=how+to+cook+pasta
weather in New York,8292,2025-05-14 20:18:52,https://wikipedia.org/search?q=history+of+the+internet
fitness tips,1412,2025-08-21 21:26:23,https://amazon.com/search?q=history+of+the+internet
history of the internet,8228,2025-04-27 0:12:38,https://amazon.com/search?q=cheap+flights+to+London
best smartphones 2025,1643,2025-01-18 3:59:58,https://youtube.com/search?q=fitness+tips
history of the internet,9351,2025-07-11 23:33:5,https://google.com/search?q=best+programming+languages
weather in New York,1934,2025-02-14 13:9:52,https://wikipedia.org/search?q=best+programming+languages
best smartphones 2025,4724,2025-06-26 6:54:43,https://news.com/search?q=top+movies+2025
latest AI trends,3540,2025-05-10 21:13:1,https://wikipedia.org/search?q=how+to+invest+in+stocks
fitness tips,5313,2025-02-27 8:58:33,https://google.com/search?q=best+programming+languages
fitness tips,9249,2025-04-22 4:42:31,https://news.com/search?q=how+to+invest+in+stocks
top movies 2025,6054,2025-04-21 15:38:36,https://youtube.com/search?q=fitness+tips
cheap flights to London,6338,2025-01-20 8:51:30,https://youtube.com/search?q=top+movies+2025
best programming languages,3852,2025-07-10 16:25:58,https://amazon.com/search?q=history+of+the+internet
cheap flights to London,8760,2025-07-15 10:30:8,https://youtube.com/search?q=fitness+tips
best programming languages,8199,2025-02-20 19:57:35,https://wikipedia.org/search?q=cheap+flights+to+London
how to cook pasta,1545,2025-07-25 16:18:52,https://google.com/search?q=top+movies+2025
fitness tips,5958,2025-03-28 8:57:33,https://youtube.com/search?q=best+programming+languages
weather in New York,9428,2025-06-19 19:54:2,https://google.com/search?q=best+programming+languages
latest AI trends,8601,2025-03-21 8:8:16,https://news.com/search?q=latest+AI+trends
top movies 2025,6490,2025-04-11 17:27:9,https://news.com/search?q=best+smartphones+2025
how to cook pasta,6007,2025-06-18 16:29:20,https://wikipedia.org/search?q=how+to+invest+in+stocks
