"record","Query","User ID","Timestamp","Click URL"
,"how to invest in stocks","5298","2025-01-25 14:44:24","https://news.com/search?q=how+to+cook+pasta"
,"best programming languages","4101","2025-07-20 16:3:49","https://youtube.com/search?q=how+to+invest+in+stocks"
,"history of the internet","5022","2025-07-25 21:42:46","https://amazon.com/search?q=cheap+flights+to+London"
,"history of the internet","9743","2025-07-10 4:8:6","https://youtube.com/search?q=cheap+flights+to+London"
,"best programming languages","1960","2025-06-27 17:45:50","https://google.com/search?q=weather+in+New+York"
,"history of the internet","8770","2025-05-17 14:20:32","https://youtube.com/search?q=history+of+the+internet"
,"weather in New York","4795","2025-08-22 8:5:36","https://youtube.com/search?q=how+to+cook+pasta"
,"history of the internet","8985","2025-04-14 11:2:26","https://news.com/search?q=best+programming+languages"
,"weather in New York","2140","2025-04-23 6:11:36","https://google.com/search?q=how+to+invest+in+stocks"
,"weather in New York","9510","2025-04-28 19:49:14","https://youtube.com/search?q=how+to+invest+in+stocks"
,"best smartphones 2025","1148","2025-02-20 6:28:36","https://news.com/search?q=weather+in+New+York"
,"best smartphones 2025","9558","2025-08-15 20:55:16","https://news.com/search?q=fitness+tips"
,"latest AI trends","8772","2025-05-21 19:44:31","https://google.com/search?q=how+to+invest+in+stocks"
,"weather in New York","4914","2025-06-14 19:56:25","https://news.com/search?q=top+movies+2025"
,"fitness tips","4152","2025-06-27 20:29:51","https://wikipedia.org/search?q=cheap+flights+to+London"
,"cheap flights to London","7047","2025-07-15 16:14:58","https://wikipedia.org/search?q=cheap+flights+to+London"
,"history of the internet","6011","2025-07-20 3:7:23","https://wikipedia.org/search?q=how+to+cook+pasta"
,"cheap flights to London","5600","2025-02-15 10:1:2","https://youtube.com/search?q=latest+AI+trends"
,"history of the internet","3782","2025-03-19 12:53:48","https://google.com/search?q=fitness+tips"
,"top movies 2025","7550","2025-03-22 18:28:54","https://youtube.com/search?q=fitness+tips"
,"latest AI trends","8628","2025-08-12 19:23:43","https://news.com/search?q=latest+AI+trends"
,"best smartphones 2025","9177","2025-04-18 22:58:13","https://google.com/search?q=best+programming+languages"
,"best smartphones 2025","9038","2025-05-18 10:49:52","https://amazon.com/search?q=history+of+the+internet"
,"latest AI trends","2964","2025-06-20 23:52:32","https://google.com/search?q=best+programming+languages"
,"how to invest in stocks","9600","2025-07-18 7:43:26","https://wikipedia.org/search?q=top+movies+2025"
,"cheap flights to London","4558","2025-02-26 0:32:9","https://wikipedia.org/search?q=best+smartphones+2025"
,"latest AI trends","1863","2025-01-13 0:34:40","https://news.com/search?q=latest+AI+trends"
,"history of the internet","2040","2025-02-25 7:4:40","https://wikipedia.org/search?q=best+smartphones+2025"
,"how to cook pasta","9766","2025-06-21 11:53:55","https://news.com/search?q=latest+AI+trends"
,"best programming languages","3888","2025-09-22 1:29:58","https://news.com/search?q=top+movies+2025"
,"history of the internet","1530","2025-07-18 12:24:46","https://amazon.com/search?q=how+to+cook+pasta"
,"how to cook pasta","5939","2025-04-24 17:28:57","https://wikipedia.org/search?q=history+of+the+internet"
,"how to invest in stocks","9694","2025-05-27 11:59:12","https://google.com/search?q=latest+AI+trends"
,"top movies 2025","9208","2025-06-21 21:40:9","https://youtube.com/search?q=history+of+the+internet"
,"latest AI trends","5390","2025-09-21 11:20:52","https://amazon.com/search?q=fitness+tips"
,"history of the internet","8563","2025-08-21 1:55:48","https://youtube.com/search?q=best+programming+languages"
,"how to cook pasta","9654","2025-06-19 14:10:15","https://youtube.com/search?q=weather+in+New+York"
,"cheap flights to London","8456","2025-03-25 13:56:57","https://news.com/search?q=how+to+invest+in+stocks"
,"latest AI trends","1928","2025-07-25 22:51:19","https://google.com/search?q=how+to+invest+in+stocks"
,"cheap flights to London","5340","2025-08-27 14:1:5","https://wikipedia.org/search?q=history+of+the+internet"
,"latest AI trends","9201","2025-07-15 20:18:14","https://news.com/search?q=how+to+cook+pasta"
,"how to invest in stocks","1673","2025-05-13 2:23:27","https://youtube.com/search?q=latest+AI+trends"
,"weather in New York","4066","2025-01-11 21:32:8","https://youtube.com/search?q=history+of+the+internet"
,"best smartphones 2025","8039","2025-07-26 14:1:39","https://news.com/search?q=top+movies+2025"
,"how to invest in stocks","7501","2025-09-28 23:6:55","https://wikipedia.org/search?q=weather+in+New+York"
,"top movies 2025","4008","2025-06-16 21:10:1","https://wikipedia.org/search?q=best+programming+languages"
,"best smartphones 2025","2369","2025-05-21 20:28:19","https://amazon.com/search?q=how+to+cook+pasta"
,"latest AI trends","7958","2025-03-19 5:46:26","https://google.com/search?q=fitness+tips"
,"history of the internet","6869","2025-03-23 8:14:55","https://wikipedia.org/search?q=best+programming+languages"
,"best programming languages","6639","2025-05-11 0:14:20","https://google.com/search?q=weather+in+New+York"
