"record","Query","User ID","Timestamp","Click URL"
,"best programming languages","1482","2025-03-19 7:0:1","https://amazon.com/search?q=latest+AI+trends"
,"weather in New York","1511","2025-09-12 21:27:33","https://news.com/search?q=best+programming+languages"
,"how to invest in stocks","1892","2025-08-24 18:20:34","https://news.com/search?q=fitness+tips"
,"best programming languages","3221","2025-03-22 2:38:26","https://google.com/search?q=how+to+cook+pasta"
,"top movies 2025","5680","2025-02-25 18:13:12","https://news.com/search?q=top+movies+2025"
,"best smartphones 2025","1756","2025-04-26 2:19:28","https://amazon.com/search?q=how+to+cook+pasta"
,"how to cook pasta","1555","2025-07-14 9:29:23","https://youtube.com/search?q=weather+in+New+York"
,"cheap flights to London","7151","2025-07-21 10:27:11","https://news.com/search?q=best+smartphones+2025"
,"latest AI trends","5233","2025-05-20 23:30:22","https://google.com/search?q=latest+AI+trends"
,"cheap flights to London","6813","2025-07-18 2:58:2","https://amazon.com/search?q=best+programming+languages"
,"fitness tips","6493","2025-05-24 19:57:41","https://google.com/search?q=best+smartphones+2025"
,"top movies 2025","8282","2025-08-14 13:47:37","https://amazon.com/search?q=top+movies+2025"
,"history of the internet","7412","2025-04-11 11:29:1","https://amazon.com/search?q=how+to+invest+in+stocks"
,"how to cook pasta","4074","2025-01-22 21:24:31","https://youtube.com/search?q=fitness+tips"
,"cheap flights to London","5121","2025-05-12 15:15:0","https://youtube.com/search?q=history+of+the+internet"
,"how to cook pasta","9183","2025-06-23 1:51:12","https://wikipedia.org/search?q=history+of+the+internet"
,"weather in New York","8014","2025-06-11 18:12:46","https://news.com/search?q=cheap+flights+to+London"
,"top movies 2025","1084","2025-08-13 0:53:28","https://wikipedia.org/search?q=top+movies+2025"
,"cheap flights to London","7893","2025-07-11 3:29:2","https://wikipedia.org/search?q=best+smartphones+2025"
,"fitness tips","7928","2025-06-27 19:4:29","https://youtube.com/search?q=fitness+tips"
,"how to invest in stocks","2107","2025-05-28 1:44:38","https://news.com/search?q=history+of+the+internet"
,"how to cook pasta","5370","2025-07-19 15:13:55","https://google.com/search?q=fitness+tips"
,"best smartphones 2025","9695","2025-06-15 23:12:37","https://amazon.com/search?q=best+smartphones+2025"
,"fitness tips","8268","2025-06-10 11:12:34","https://amazon.com/search?q=latest+AI+trends"
,"latest AI trends","1889","2025-09-24 12:28:3","https://news.com/search?q=weather+in+New+York"
,"cheap flights to London","2996","2025-05-24 8:7:49","https://youtube.com/search?q=cheap+flights+to+London"
,"how to invest in stocks","6968","2025-07-22 0:5:30","https://google.com/search?q=latest+AI+trends"
,"top movies 2025","4918","2025-02-20 8:35:6","https://youtube.com/search?q=weather+in+New+York"
,"best smartphones 2025","4182","2025-08-15 9:4:42","https://wikipedia.org/search?q=weather+in+New+York"
,"top movies 2025","5376","2025-07-18 19:43:41","https://amazon.com/search?q=fitness+tips"
,"how to cook pasta","4340","2025-06-25 19:51:5","https://news.com/search?q=weather+in+New+York"
,"history of the internet","4923","2025-07-23 19:2:8","https://wikipedia.org/search?q=top+movies+2025"
,"best smartphones 2025","7797","2025-06-27 9:54:34","https://amazon.com/search?q=cheap+flights+to+London"
,"best programming languages","6312","2025-08-24 2:35:15","https://amazon.com/search?q=best+programming+languages"
,"how to invest in stocks","4110","2025-04-17 9:55:11","https://youtube.com/search?q=fitness+tips"
,"fitness tips","6336","2025-07-10 19:37:8","https://wikipedia.org/search?q=how+to+invest+in+stocks"
,"fitness tips","6609","2025-08-12 21:28:9","https://youtube.com/search?q=best+smartphones+2025"
,"weather in New York","9279","2025-01-12 13:37:9","https://amazon.com/search?q=top+movies+2025"
,"history of the internet","6896","2025-09-28 18:57:15","https://wikipedia.org/search?q=latest+AI+trends"
,"cheap flights to London","3199","2025-04-16 3:26:23","https://wikipedia.org/search?q=history+of+the+internet"
,"history of the internet","6418","2025-09-19 18:5:26","https://google.com/search?q=best+programming+languages"
,"weather in New York","6245","2025-04-19 2:2:56","https://wikipedia.org/search?q=best+smartphones+2025"
,"history of the internet","5728","2025-06-20 13:8:37","https://amazon.com/search?q=weather+in+New+York"
,"top movies 2025","3916","2025-03-18 9:42:14","https://news.com/search?q=how+to+cook+pasta"
,"how to cook pasta","4229","2025-02-18 8:37:45","https://wikipedia.org/search?q=cheap+flights+to+London"
,"fitness tips","4506","2025-09-24 18:40:43","https://youtube.com/search?q=fitness+tips"
,"how to cook pasta","3049","2025-02-28 4:40:13","https://wikipedia.org/search?q=best+programming+languages"
,"history of the internet","3971","2025-08-27 1:31:23","https://news.com/search?q=how+to+cook+pasta"
,"top movies 2025","5650","2025-03-15 14:12:57","https://amazon.com/search?q=how+to+invest+in+stocks"
,"history of the internet","2465","2025-08-21 5:55:27","https://amazon.com/search?q=cheap+flights+to+London"
